집계년도,시군명,전체기관명,대표전화번호,관할구역명,소재지우편번호,소재지지번주소,소재지도로명주소,WGS84위도,WGS84경도
2022,수원시,경기도 수원남부소방서,031-639-8214,"수원시 권선구, 팔달구 일원",16550,경기도 수원시 권선구 권선동 1237번지,경기도 수원시 권선구 동수원로 286,37.15187812,127.0214446
2022,수원시,경기도 수원소방서,031-8012-9212,"수원시 장안구, 영통구 일원",16335,경기도 수원시 장안구 정자동 873-5번지,경기도 수원시 장안구 정자천로189번길 12,37.29731946,126.9958104
2022,시흥시,경기도 시흥소방서,031-310-0212,시흥시 일원,15055,경기도 시흥시 정왕동 1800-1번지,경기도 시흥시 정왕신길로 206,37.34924998,126.7396666
2022,안산시,경기도 안산소방서,031-470-7212,안산시 일원,15335,경기도 안산시 단원구 고잔동 515-1번지,경기도 안산시 단원구 화랑로 407,37.32153472,126.8332684
2022,안성시,경기도 안성소방서,031-678-4212,안성시 일원,17595,경기도 안성시 도기동 544-174번지,경기도 안성시 미양로 855,37.00038883,127.2561272
2022,안양시,경기도 안양소방서,031-470-0212,안양시 일원,14054,경기도 안양시 동안구 관양동 1592-1번지,경기도 안양시 동안구 관평로212번길 32,37.39580225,126.9605892
2022,양주시,경기도 양주소방서,031-849-8212,양주시 일원,11504,경기도 양주시 백석읍 오산리 513-1번지,경기도 양주시 백석읍 꿈나무로 156,37.79587047,126.9891552
2022,양평군,경기도 양평소방서,031-770-0212,양평군 일원,12547,경기도 양평군 양평읍 공흥리 159-1번지,경기도 양평군 양평읍 경강로 2047,37.50027678,127.5071754
2022,여주시,경기도 여주소방서,031-887-7214,여주시일원,12625,경기도 여주시 월송동 42번지,경기도 여주시 우암로 110,37.29171623,127.625783
2022,연천군,경기도 연천소방서,031-830-0212,연천군 일원,11025,경기도 연천군 전곡읍 은대리 422-4번지,경기도 연천군 전곡읍 평화로 892,38.04833796,127.068754
2022,오산시,경기도 오산소방서,031-8059-7212,오산시 일원,18110,경기도 오산시 내삼미동 880번지,경기도 오산시 문헌공로 30,37.175399,127.053675
2022,용인시,경기도 용인소방서,031-8021-0212,용인시 일원,17057,경기도 용인시 처인구 역북동 586-7번지,경기도 용인시 처인구 명지로 45,37.23199174,127.189795
2022,의왕시,경기도 의왕소방서,031-596-0214,의왕시 일원,16077,경기도 의왕시 고천동 78-3번지,경기도 의왕시 오봉로 9,37.34392613,126.9747589
2022,의정부시,경기도 의정부소방서,031-849-7212,의정부시 일원,11763,경기도 의정부시 금오동 484번지,경기도 의정부시 금오로23번길 22-40,37.74735413,127.0718227
2022,이천시,경기도 이천소방서,031-645-5212,이천시 일원,17379,경기도 이천시 관고동 218-2번지,경기도 이천시 경충대로 2739,37.28185669,127.4315975
2022,파주시,경기도 파주소방서,031-956-9212,파주시 일원,10836,경기도 파주시 파주읍 봉서리 458-10번지,경기도 파주시 파주읍 통일로 1564,37.84752748,126.7896236
2022,평택시,경기도 평택소방서,031-8053-6212,평택시 일원,17901,경기도 평택시 비전동 849-1번지,경기도 평택시 중앙로 273,36.99038102,127.1126949
2022,평택시,경기도 송탄소방서,031-685-8212,평택시 신장동  일원,17754,경기도 평택시 신장동 505-2번지,경기도 평택시 경기대로 1627,37.08945294,127.0620889
2022,포천시,경기도 포천소방서,031-538-5212,포천시 일원,11154,경기도 포천시 군내면 구읍리 669번지,경기도 포천시 군내면 호국로 1538,37.89116559,127.2025558
2022,하남시,경기도 하남소방서,031-799-4212,하남시 일원,12953,경기도 하남시 신장동 528-1번지,경기도 하남시 대청로 76,37.53976048,127.2202505
2022,화성시,경기도 화성소방서,031-8012-6212,화성시 일원,18598,경기도 화성시 향남읍 행정리 436-6번지,경기도 화성시 향남읍 향남로 399,37.13095049,126.9203477

